vlan.vid,prefix,vlan_group,status,description,is_pool
,239.182.43.0/24,,active,mcast_bytel_ott.cji.fr,True
,239.182.44.0/24,,active,secu_IRD_chaines_SD.cji.fr,True
,239.182.46.0/24,,active,mcast_bytel_otheroccult.cji.fr,True
,239.182.47.0/24,,active,mcast_mfp_cji.fr,True
,239.182.48.0/24,,active,mcast_occultation_SD.cji.fr,True
,239.182.49.0/24,,active,mcast_mfp-2_cji.fr,True
,239.182.50.0/24,,active,mcast _transco_secu_coeur2.cji.fr,True
,239.182.60.0/24,,active,mcast_ipplay_coder.cji.fr,True
,239.182.61.0/24,,active,mcast_bytel_transco.cji.fr,True
,239.182.64.0/24,,active,mcast_coeur_NC.cji.fr,True
,239.182.70.0/24,,active,mcast_completel.cji.fr,True
,239.182.79.0/24,,active,mcast_transco_secu_coeur.cji.fr,True
,239.182.80.0/24,,active,mcast_contrib_intx2_SD,True
,239.182.91.0/24,,active,mcast_encodage_RMV_SD,True
,239.182.125.0/24,,active,mcast_flux_secu_regie_Lagardere_RMV_sd,True
,239.182.140.0/24,,active,mcast_flux_secu_regie_Africa24_RMV_sd,True
,239.183.159.0/24,,active,mcast_enc_OUT_beIN_RMV,True
,239.183.160.0/24,,active,mcast_enc_OUT_beIN_INTX2,True
,239.183.161.0/24,,active,mcast_enc_OUT_Mutual_INTX2,True
,239.184.9.0/24,,active,mcast_HD_PRA-FMM,True
,239.184.11.0/24,,active,mcast-HD_VM_Brane_IPPlay,True
